,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
8403702,0.0194537631634,0.294656486655,0.37256979941,0.0271706549681,2.48131569283e-07,0.0751593004675,2.48131569283e-07,0.0188086210832,2.48131569283e-07,2.48131569283e-07,2.48131569283e-07,2.48131569283e-07,0.108185612339,2.48131569283e-07,0.0306444969381,2.48131569283e-07,2.48131569283e-07,2.48131569283e-07,2.48131569283e-07,0.0533485355275
11621934,0.061933749221,0.165209667782,3.24443787705e-05,0.248890466492,3.21231472975e-07,0.138932933293,3.21231472975e-07,3.21231472982e-07,3.21231472982e-07,3.21231472975e-07,3.21231472975e-07,3.21231472975e-07,3.21231472975e-07,0.149951172816,0.193895638319,3.21231472975e-07,3.21231472982e-07,3.21231472975e-07,3.21231472975e-07,0.0411500729195
8727402,0.0016521120894,3.59076741881e-07,0.0168769659452,0.00675100182411,0.76943000158,0.0402887695158,0.000574881863752,0.00384248021487,0.0067869094983,0.0196418568576,3.59076741881e-07,3.59076741881e-07,0.0245612082214,0.0641314651767,0.0363748330293,3.59076741881e-07,0.00908500064634,3.59076741881e-07,3.59076741881e-07,3.59076741881e-07
1500641,0.0031408226834,0.00762725443195,3.20459410611e-07,3.20459410611e-07,3.20459410611e-07,3.20459410611e-07,0.0300594131747,3.20459410611e-07,0.00592881955572,0.00253194980324,0.940132093369,3.20459410618e-07,3.20459410611e-07,3.20459410618e-07,3.20459410618e-07,3.20459410611e-07,3.20459410611e-07,3.20459410618e-07,0.00846044889954,0.00211535256944
12503783,0.0291982626711,0.0513718872293,0.000812637950412,0.0122718317107,1.69264309605e-07,0.00700771168195,0.0389817397663,1.69264309605e-07,0.0740194518545,0.00133735731019,0.00462108491652,0.00771862178229,1.69264309605e-07,1.69264309605e-07,0.00072800579561,0.018534611166,0.052810633861,0.0308232000433,0.532641098728,0.137121186475
8640061,0.0307980395114,0.0200120464252,0.0124597849827,1.03314110024e-07,1.03314110021e-07,1.03314110024e-07,1.03314110021e-07,0.0874348346251,0.00215936821355,0.00145683226541,1.03314110021e-07,0.00100225018132,0.141974353305,0.167038356396,0.519318808747,0.00409134207095,1.03314110021e-07,1.03314110021e-07,0.0019114143495,0.0103418457272
11636010,0.132940298212,0.529238352318,0.00578478484417,0.00504320914412,4.94383800032e-07,0.00014880952381,4.94383800032e-07,0.0132005418446,0.10154692691,0.00217578310394,4.94383800032e-07,0.00326342746401,0.019133147445,4.94383800032e-07,0.033717469546,0.0226432724252,0.0150792002848,0.000494878183832,0.000494878183832,0.115093043031
6910565,0.250562615739,0.342447095744,7.06803692342e-07,7.06803692342e-07,7.06803692342e-07,7.06803692342e-07,7.06803692342e-07,0.00261588046536,0.00706874372712,0.000778190865269,7.06803692342e-07,0.0117336480966,0.00452425043468,0.0465790701291,0.0463670290214,0.23197367863,7.06803692342e-07,0.0553434359141,7.06803692342e-07,7.06803692342e-07
6516230,0.0829860446418,0.189039109461,4.78578812358e-07,4.78578812358e-07,4.83364600482e-05,4.78578812358e-07,4.78578812359e-07,0.0127785328688,0.170661683066,0.000909778322294,4.78578812358e-07,0.0291459282515,0.0138792641372,0.0509212642138,0.14563201118,0.289444944293,0.00143621501589,4.78578812358e-07,0.00569556644588,0.00741845017037
7374641,0.117541094492,0.378210347644,6.38113226811e-07,6.3811322681e-07,6.38113226811e-07,6.38113226811e-07,0.0345225636837,6.3811322681e-07,0.0065093930267,0.00331882689264,0.0722350553882,0.00440361937822,0.013847695135,0.0246956199908,0.0213774312114,0.256203098678,6.38113226811e-07,0.0561546020726,0.00536078921844,0.00561603450916
